store_name,pincode,city,district,state,company,lat,lng,pop_2011,pop_2026,match_type,census_town,total_stores_in_city,ps_ratio_2026
Baazar Kolkata - Agartala Central Road,799001,Agartala,West Tripura,Tripura,Baazar Kolkata,23.828545,91.282472,400004.0,661458.0,exact,Agartala,11,60133.0
Baazar Kolkata - Agartala Durga Chowmuhani,799002,Agartala,West Tripura,Tripura,Baazar Kolkata,23.815947,91.254322,400004.0,661458.0,exact,Agartala,11,60133.0
Baazar Kolkata - Agartala Post Office Chowmuhani,799001,Agartala,West Tripura,Tripura,Baazar Kolkata,23.829922,91.280754,400004.0,661458.0,exact,Agartala,11,60133.0
Baazar Kolkata - Alipurduar Falakata,735211,Mal,Jalpaiguri,West Bengal,Baazar Kolkata,26.51987,89.20204,25218.0,33297.0,exact,Mal,2,16648.0
Baazar Kolkata - Amtala,743398,Amtala,South 24 Parganas,West Bengal,Baazar Kolkata,22.174924,88.209736,8765.0,11573.0,exact,Amtala,1,11573.0
Baazar Kolkata - Andul,711109,Andul,Howrah,West Bengal,Baazar Kolkata,22.56743,88.271545,6302.0,8321.0,exact,Andul,2,4160.0
Baazar Kolkata - Asansole Bus Stand,713301,Asansol,Paschim Burdwan,West Bengal,Baazar Kolkata,22.799401,88.348147,563917.0,744577.0,exact,Asansol,9,82731.0
Baazar Kolkata - Asansole Raha Lane,713301,Asansol,Paschim Burdwan,West Bengal,Baazar Kolkata,23.683912,86.976708,563917.0,744577.0,exact,Asansol,9,82731.0
Baazar Kolkata - Asansole Sentrum Mall,713305,Asansol,Paschim Burdwan,West Bengal,Baazar Kolkata,23.703704,86.94832,563917.0,744577.0,exact,Asansol,9,82731.0
Baazar Kolkata - Bankura,722101,Bankura,Bankura,West Bengal,Baazar Kolkata,23.416563,86.993996,137386.0,181400.0,exact,Bankura,2,90700.0
Baazar Kolkata - Barakar,713324,Barakar,Burdwan,West Bengal,Baazar Kolkata,23.684755,86.97232,563917.0,744577.0,manual,Asansol,1,744577.0
Baazar Kolkata - Barasat,700120,Kolkata,North 24 Parganas,West Bengal,Baazar Kolkata,22.7645,88.3725,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Bardhaman,713101,Kalna,Hooghly,West Bengal,Baazar Kolkata,23.546972,87.293236,56722.0,74894.0,exact,Kalna,4,18724.0
Baazar Kolkata - Bardhaman Kalna,713101,Kalna,Hooghly,West Bengal,Baazar Kolkata,23.222294,88.364456,56722.0,74894.0,exact,Kalna,4,18724.0
Baazar Kolkata - Bardhaman Memari,713146,Memari,Memari,West Bengal,Baazar Kolkata,23.3333,87.6667,41451.0,54731.0,exact,Memari,2,27366.0
Baazar Kolkata - Bargarh,768028,Bargarh,Bargarh,Odisha,Baazar Kolkata,21.343033,83.62106,80625.0,117283.0,exact,Bargarh,6,19547.0
Baazar Kolkata - Berhampore B B Sen Road,742103,Berhampore,Murshidabad,West Bengal,Baazar Kolkata,24.109707,88.249303,195223.0,257766.0,exact,Berhampore,5,51553.0
Baazar Kolkata - Berhampore Bus Stand,742101,Berhampore,Murshidabad,West Bengal,Baazar Kolkata,24.09325,88.25165,195223.0,257766.0,exact,Berhampore,5,51553.0
Baazar Kolkata - Bhubaneswar Bapuji Nagar,751009,Bhubaneswar,Khordha,Odisha,Baazar Kolkata,20.257527,85.833608,885363.0,1287911.0,exact,Bhubaneswar,18,71551.0
Baazar Kolkata - Bhubaneswar Eastern Market Building,751009,Bhubaneswar,Khordha,Odisha,Baazar Kolkata,20.288258,85.845361,885363.0,1287911.0,exact,Bhubaneswar,18,71551.0
Baazar Kolkata - Birbhum Bolpur,140491,Bolpur,Birbhum,West Bengal,Baazar Kolkata,23.65,87.3333,80210.0,105907.0,exact,Bolpur,2,52954.0
Baazar Kolkata - Bongaon,743235,Bongaon,North 24 Parganas,West Bengal,Baazar Kolkata,22.8333,88.8333,108864.0,143740.0,exact,Bongaon,4,35935.0
Baazar Kolkata - Brahmapur,760001,Phulbani,Kandhamal,Odisha,Baazar Kolkata,19.313182,84.787419,37371.0,54362.0,fuzzy,phulabani,11,4942.0
Baazar Kolkata - Budge Budge,700137,Budge Budge,Budge Budge,West Bengal,Baazar Kolkata,22.514294,88.286067,76837.0,101453.0,exact,Budge Budge,1,101453.0
Baazar Kolkata - Canning,743329,Canning,Canning,West Bengal,Baazar Kolkata,22.312573,88.666386,,,no_match,,1,
Baazar Kolkata - Cooch Behar N N Road,736101,Cooch Behar,Cooch Behar,West Bengal,Baazar Kolkata,26.325,89.44,77935.0,102903.0,fuzzy_broad,koch bihar,8,12863.0
Baazar Kolkata - Cooch Behar Sunity Road,736101,Cooch Behar,Cooch Behar,West Bengal,Baazar Kolkata,26.325,89.44,77935.0,102903.0,fuzzy_broad,koch bihar,8,12863.0
Baazar Kolkata - Cuttack Badambadi,753009,Cuttack,Cuttack,Odisha,Baazar Kolkata,20.45133,85.892285,610189.0,887623.0,exact,Cuttack,16,55476.0
Baazar Kolkata - Cuttack CDA Sector 7,753014,Cuttack,Cuttack,Odisha,Baazar Kolkata,20.472946,85.843645,610189.0,887623.0,exact,Cuttack,16,55476.0
Baazar Kolkata - Cuttack Chaudwar,754025,Cuttack,Cuttack,Odisha,Baazar Kolkata,20.52779,85.913,610189.0,887623.0,exact,Cuttack,16,55476.0
Baazar Kolkata - Cuttack Chauliaganj,753004,Cuttack,Cuttack,Odisha,Baazar Kolkata,20.462515,85.88274,610189.0,887623.0,exact,Cuttack,16,55476.0
Baazar Kolkata - Cuttack Naya Sadak,753002,Cuttack,Cuttack,Odisha,Baazar Kolkata,20.480781,85.831112,610189.0,887623.0,exact,Cuttack,16,55476.0
Baazar Kolkata - Dakshineswar,700035,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.652458,88.363863,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Dankuni,712311,Dankuni,Hooghly,West Bengal,Baazar Kolkata,22.682151,88.282712,94936.0,125350.0,exact,Dankuni,5,25070.0
Baazar Kolkata - Dharmanagar,799250,Dharmanagar,North Tripura,Tripura,Baazar Kolkata,24.379374,92.16196,40595.0,67129.0,exact,Dharmanagar,1,67129.0
Baazar Kolkata - Dhenkanal,759001,Dhenkanal,Dhenkanal,Odisha,Baazar Kolkata,20.654379,85.59423,67414.0,98065.0,exact,Dhenkanal,4,24516.0
Baazar Kolkata - Diamond Harbour City Baazar,743331,Diamond Harbour,North 24 Parganas,West Bengal,Baazar Kolkata,22.192719,88.18955,41802.0,55194.0,exact,Diamond Harbour,4,13798.0
Baazar Kolkata - Diamond Harbour City Baazar,700063,Diamond Harbour,Kolkata,West Bengal,Baazar Kolkata,22.192719,88.18955,41802.0,55194.0,exact,Diamond Harbour,4,13798.0
Baazar Kolkata - Dolamundai,759001,Dhenkanal,Dhenkanal,Odisha,Baazar Kolkata,20.462442,85.883283,67414.0,98065.0,exact,Dhenkanal,4,24516.0
Baazar Kolkata - Dum Dum Gora Bazar,700028,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.628429,88.44606,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Durgapur,713216,Durgapur,East Medinipur,West Bengal,Baazar Kolkata,23.540985,87.30857,566517.0,748010.0,exact,Durgapur,3,249337.0
Baazar Kolkata - East Medinipur Contai,721401,Contai,Purba Medinipur,West Bengal,Baazar Kolkata,22.457882,87.384766,92226.0,121772.0,exact,Contai,5,24354.0
Baazar Kolkata - East Medinipur Contai Rupasi bypass,721401,Contai,Purba Medinipur,West Bengal,Baazar Kolkata,22.42586,87.320045,92226.0,121772.0,exact,Contai,5,24354.0
Baazar Kolkata - Garia,700103,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.439841,88.402318,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Gariahat,700103,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.526124,88.371643,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Habra,743268,Habra,Habra,West Bengal,Baazar Kolkata,22.846125,88.657745,147221.0,194386.0,exact,Habra,1,194386.0
Baazar Kolkata - Habra Netaji More,743263,Barasat,North 24 Parganas,West Bengal,Baazar Kolkata,22.847678,88.663298,278435.0,367636.0,exact,Barasat,7,52519.0
Baazar Kolkata - Haldia City Center,721657,Haldia,Purba Medinipur,West Bengal,Baazar Kolkata,22.028185,88.06329,200827.0,265165.0,exact,Haldia,1,265165.0
Baazar Kolkata - Hasnabad,743426,Hasnabad,North 24 Parganas,West Bengal,Baazar Kolkata,22.568855,88.91128,,,no_match,,1,
Baazar Kolkata - Hooghly Arambagh,712601,Arambagh,Hooghly,West Bengal,Baazar Kolkata,22.886118,87.784325,66175.0,87375.0,fuzzy,arambag,5,17475.0
Baazar Kolkata - Hooghly Arambagh 2,712601,Arambagh,Hooghly,West Bengal,Baazar Kolkata,23.1833,88.25,66175.0,87375.0,fuzzy,arambag,5,17475.0
Baazar Kolkata - Hooghly Chinsurah,712101,Chinsurah,Hooghly,West Bengal,Baazar Kolkata,22.886614,88.38433,179931.0,237575.0,fuzzy_broad,hugli-chinsurah,2,118788.0
Baazar Kolkata - Hooghly Serampore Mansi Bazar,712201,Serampore,Hooghly,West Bengal,Baazar Kolkata,22.753492,88.3402,181842.0,240098.0,exact,Serampore,6,40016.0
Baazar Kolkata - Hooghly Uttarpara,712258,Arambagh,Hooghly,West Bengal,Baazar Kolkata,22.657318,88.348806,66175.0,87375.0,fuzzy,arambag,5,17475.0
Baazar Kolkata - Howrah Avani Mall,711102,Howrah,Howrah,West Bengal,Baazar Kolkata,22.563961,88.320874,,,no_match,,16,
Baazar Kolkata - Howrah Chintamoni Dey Road (Howrah Maidan),711101,Howrah,Howrah,West Bengal,Baazar Kolkata,22.581739,88.331165,,,no_match,,16,
Baazar Kolkata - Howrah Domjur,711405,Domjur,Howrah,West Bengal,Baazar Kolkata,22.635761,88.219,18433.0,24338.0,exact,Domjur,1,24338.0
Baazar Kolkata - Howrah Maidan G T Road,711101,Howrah,Howrah,West Bengal,Baazar Kolkata,22.579568,88.331676,,,no_match,,16,
Baazar Kolkata - Howrah Rangoli 2,711202,Howrah,Howrah,West Bengal,Baazar Kolkata,22.625329,88.353281,,,no_match,,16,
Baazar Kolkata - Howrah Rangoli Mall,711202,Howrah,Howrah,West Bengal,Baazar Kolkata,22.625329,88.353281,,,no_match,,16,
Baazar Kolkata - Howrah Salkia,711106,Howrah,Howrah,West Bengal,Baazar Kolkata,22.601471,88.346579,,,no_match,,16,
Baazar Kolkata - Howrah Santragachi,711112,Santragachi,Howrah,West Bengal,Baazar Kolkata,22.585761,88.283142,6890.0,9097.0,fuzzy_broad,jatragachhi,1,9097.0
Baazar Kolkata - Jajpur Road,755019,Jajpur,Jajpur,Odisha,Baazar Kolkata,20.298068,85.813103,37458.0,54489.0,fuzzy,jajapur,5,10898.0
Baazar Kolkata - Jalpaiguri,735101,Jalpaiguri,Jalpaiguri,West Bengal,Baazar Kolkata,26.524776,88.72397,107341.0,141729.0,exact,Jalpaiguri,5,28346.0
Baazar Kolkata - Jeypore,764001,Jeypore,Koraput,Odisha,Baazar Kolkata,18.863352,82.579133,84830.0,123400.0,fuzzy_broad,jeypur,2,61700.0
Baazar Kolkata - Kalyani,741235,Kalyani,Nadia,West Bengal,Baazar Kolkata,22.9012,88.4305,100575.0,132796.0,exact,Kalyani,1,132796.0
Baazar Kolkata - Kalyani Chakdah,741222,Chakdah,Nadia,West Bengal,Baazar Kolkata,22.97569,88.43504,95203.0,125703.0,fuzzy,chakdaha,5,25141.0
Baazar Kolkata - Kanchrapara,743145,Kanchrapara,North 24 Parganas,West Bengal,Baazar Kolkata,22.95293,88.423447,129576.0,171088.0,exact,Kanchrapara,6,28515.0
Baazar Kolkata - Katwa,713130,Katwa,Katwa,West Bengal,Baazar Kolkata,23.646555,88.12822,81615.0,107762.0,exact,Katwa,2,53881.0
Baazar Kolkata - Katwa Station Bazar Road,713130,Katwa,Katwa,West Bengal,Baazar Kolkata,23.6667,87.9667,81615.0,107762.0,exact,Katwa,2,53881.0
Baazar Kolkata - Kendrapara,754211,Kendrapara,Kendrapara,Odisha,Baazar Kolkata,21.495145,86.938245,47006.0,68378.0,exact,Kendrapara,3,22793.0
Baazar Kolkata - Kharagpur,721301,Kharagpur,Kharagpur,West Bengal,Baazar Kolkata,22.345084,87.302757,207604.0,274113.0,exact,Kharagpur,5,54823.0
Baazar Kolkata - Kolkata Axis Mall,700156,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.57051,88.474981,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Baghajatin,700047,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.474631,88.3765,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Barrackpore,700120,Kolkata,North 24 Parganas,West Bengal,Baazar Kolkata,22.59028,88.38475,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Baruipur,700144,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.348281,88.438555,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Basirhat,743411,Basirhat,North 24 Parganas,West Bengal,Baazar Kolkata,22.662988,88.862698,125254.0,165381.0,exact,Basirhat,4,41345.0
Baazar Kolkata - Kolkata Behala,700034,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.505794,88.319281,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Behala James Long Sarani,700034,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.501165,88.320891,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Belgharia B M Banerjee Road,700034,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.556843,88.35465,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Belgharia Madhusudan Banerjee Road,700034,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.651609,88.38242,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata City Center 2 Newtown,700157,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.621703,88.450195,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Dharmatala,700087,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.559743,88.352908,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Hatibagan (Mitra Cinema),700004,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.597199,88.372222,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Hatibagan (Radha Cinema),700004,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.598397,88.372146,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Lindsay Street,741222,Chakdah,Nadia,West Bengal,Baazar Kolkata,22.559377,88.35284,95203.0,125703.0,fuzzy,chakdaha,5,25141.0
Baazar Kolkata - Kolkata Madhyamgram,700129,Kolkata,North 24 Parganas,West Bengal,Baazar Kolkata,22.69799,88.46873,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Madhyamgram Star Mall,700129,Kolkata,North 24 Parganas,West Bengal,Baazar Kolkata,22.556843,88.35465,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Metro Cinema,700013,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.564086,88.351702,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Naktala,700047,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.481817,88.356077,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Rajarhat,700135,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.5534,88.3687,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Sealdah,700014,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.56984,88.37451,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata Sodepur,700110,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.695084,88.399821,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Kolkata V.I.P Road,700059,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.591527,88.392631,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Krishnanagar,741101,Kolkata,Nadia,West Bengal,Baazar Kolkata,22.457838,88.33538,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Malda Pranto Pally,393217,English Bazaar,Malda,West Bengal,Baazar Kolkata,24.4234,87.8956,205521.0,271363.0,fuzzy,english bazar,2,135682.0
Baazar Kolkata - Malda PRM Centrepoint Mall,732103,Malda,Malda,West Bengal,Baazar Kolkata,24.884308,88.04569,31920.0,42146.0,fuzzy_broad,matla,6,7024.0
Baazar Kolkata - Malda Ravindra Avenue,732101,Malda,Malda,West Bengal,Baazar Kolkata,25.0,88.14,31920.0,42146.0,fuzzy_broad,matla,6,7024.0
Baazar Kolkata - Maslandapur,743289,Maslandapur,North 24 Parganas,West Bengal,Baazar Kolkata,22.855565,88.74653,10790.0,14247.0,exact,Maslandapur,2,7124.0
Baazar Kolkata - Medinipur,721101,Medinipur,Purba Medinipur,West Bengal,Baazar Kolkata,22.4156,87.7834,169264.0,223491.0,exact,Medinipur,3,74497.0
Baazar Kolkata - Naihati,743165,Naihati,North 24 Parganas,West Bengal,Baazar Kolkata,22.891134,88.419556,217900.0,287708.0,exact,Naihati,5,57542.0
Baazar Kolkata - Naihati (Near Yatri Niwas),743165,Naihati,North 24 Parganas,West Bengal,Baazar Kolkata,22.887464,88.421214,217900.0,287708.0,exact,Naihati,5,57542.0
Baazar Kolkata - Paradeep,754141,Paradeep,Jagatsinghpur,Odisha,Baazar Kolkata,20.488344,86.28435,68585.0,99769.0,manual,Paradip,3,33256.0
Baazar Kolkata - Park Street,700016,Kolkata,Kolkata,West Bengal,Baazar Kolkata,22.554752,88.350396,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Puri,752001,Puri,Puri,Odisha,Baazar Kolkata,19.804546,85.81959,200564.0,291754.0,exact,Puri,5,58351.0
Baazar Kolkata - Purulia,723101,Purulia,Purulia,West Bengal,Baazar Kolkata,23.343461,86.363084,121067.0,159853.0,fuzzy,puruliya,2,79926.0
Baazar Kolkata - Raiganj,733134,Raiganj,Uttar Dinajpur,West Bengal,Baazar Kolkata,25.612129,88.122537,183612.0,242435.0,exact,Raiganj,4,60609.0
Baazar Kolkata - Ranaghat,741201,Ranaghat,Nadia,West Bengal,Baazar Kolkata,23.169222,88.56502,75365.0,99509.0,exact,Ranaghat,3,33170.0
Baazar Kolkata - Raniganj,713347,Raniganj,Burdwan,West Bengal,Baazar Kolkata,22.503423,88.366591,129441.0,170910.0,exact,Raniganj,1,170910.0
Baazar Kolkata - Rasulgarh,751010,Bhubaneswar,Khordha,Odisha,Baazar Kolkata,20.310123,85.87088,885363.0,1287911.0,exact,Bhubaneswar,18,71551.0
Baazar Kolkata - Sambalpur,768001,Sambalpur,Sambalpur,Odisha,Baazar Kolkata,22.225069,84.860504,189366.0,275465.0,exact,Sambalpur,9,30607.0
Baazar Kolkata - Seoraphuli,712223,Seoraphuli,Howrah,West Bengal,Baazar Kolkata,22.777388,88.326552,181842.0,240098.0,manual,Serampore,2,120049.0
Baazar Kolkata - Siliguri City Centre,712223,Seoraphuli,Howrah,West Bengal,Baazar Kolkata,22.5834,88.2145,181842.0,240098.0,manual,Serampore,2,120049.0
Baazar Kolkata - Siliguri Medical More,734011,Siliguri,Siliguri,West Bengal,Baazar Kolkata,26.719473,88.38425,,,no_match,,11,
Baazar Kolkata - Siliguri Salbari,734009,Siliguri,Siliguri,West Bengal,Baazar Kolkata,26.7289,88.4012,,,no_match,,11,
Baazar Kolkata - Siliguri Sevoke Road,712409,Singur,Hooghly,West Bengal,Baazar Kolkata,22.9167,88.1333,21382.0,28232.0,exact,Singur,4,7058.0
Baazar Kolkata - Siliguri Sevoke Road City Garden,734001,Siliguri,Darjeeling,West Bengal,Baazar Kolkata,26.725454,88.428925,,,no_match,,11,
Baazar Kolkata - Siliguri Vega Mall,734008,Siliguri,Siliguri,West Bengal,Baazar Kolkata,26.754596,88.440786,,,no_match,,11,
Baazar Kolkata - Singur,712409,Singur,Hooghly,West Bengal,Baazar Kolkata,22.9167,88.1333,21382.0,28232.0,exact,Singur,4,7058.0
Baazar Kolkata - Sitamarhi,843302,Sitamarhi,Sitamarhi,Bihar,Baazar Kolkata,26.594573,85.492784,67818.0,116451.0,exact,Sitamarhi,12,9704.0
Baazar Kolkata - Sodepur BT Road,700115,Kolkata,North 24 Parganas,West Bengal,Baazar Kolkata,22.682863,88.385694,4496694.0,5937285.0,exact,Kolkata,73,81333.0
Baazar Kolkata - Suri,731101,Suri,Birbhum,West Bengal,Baazar Kolkata,24.0289,87.2845,67864.0,89605.0,exact,Suri,4,22401.0
Baazar Kolkata - Tadong,737102,Gangtok,East Sikkim,Sikkim,Baazar Kolkata,27.33032,88.60639,100286.0,183761.0,exact,Gangtok,3,61254.0
Baazar Kolkata - Tamluk,721636,Tamluk,Purba Medinipur,West Bengal,Baazar Kolkata,22.199189,87.923853,65306.0,86228.0,exact,Tamluk,2,43114.0
"Baazar Kolkata - Triveni Mall, Serampore",712202,Serampore,Hooghly,West Bengal,Baazar Kolkata,22.728477,88.352938,181842.0,240098.0,exact,Serampore,6,40016.0
Baazar Kolkata - Uluberia,711316,Uluberia,Howrah,West Bengal,Baazar Kolkata,26.716146,88.42635,235345.0,310742.0,exact,Uluberia,2,155371.0
Baazar Kolkata - Uttar Dinajpur Islampur,733202,Islampur,Uttar Dinajpur,West Bengal,Baazar Kolkata,26.70034,88.43178,54340.0,71749.0,exact,Islampur,1,71749.0
Citykart Adil nagar Lucknow,226001,Lucknow,Lucknow,Uttar Pradesh,CityKart,26.889515,80.953765,2817105.0,4319172.0,exact,Lucknow,58,74468.0
Citykart Agartala,799001,Agartala,West Tripura,Tripura,CityKart,23.829033,91.276726,400004.0,661458.0,exact,Agartala,11,60133.0
Citykart Alambagh Lucknow,226005,Lucknow,Lucknow,Uttar Pradesh,CityKart,26.771812,80.91877,2817105.0,4319172.0,exact,Lucknow,58,74468.0
Citykart Ambikapur,497001,Ambikapur,Surguja,Chhattisgarh,CityKart,23.12756,83.1891,121071.0,188076.0,exact,Ambikapur,3,62692.0
CityKart Anantnag,192101,Anantnag,Anantnag,Jammu and Kashmir,CityKart,33.731208,75.149723,109433.0,162481.0,exact,Anantnag,2,81240.0
CityKart Arrah,802301,Ara,Bhojpur,Bihar,CityKart,25.558075,84.66744,5185.0,8903.0,fuzzy,bara,5,1781.0
Citykart Arrah pakri more,802301,Ara,Bhojpur,Bihar,CityKart,25.55026,84.667456,5185.0,8903.0,fuzzy,bara,5,1781.0
CityKart Aurangabad,824101,Aurangabad,Aurangabad,Bihar,CityKart,24.752936,84.37391,102244.0,175564.0,exact,Aurangabad,5,35113.0
Citykart Aurangabad OLD GT Road,824101,Aurangabad,Aurangabad,Bihar,CityKart,24.738832,84.3844,102244.0,175564.0,exact,Aurangabad,5,35113.0
Citykart Azamgarh,276001,Azamgarh,Azamgarh,Uttar Pradesh,CityKart,26.043537,83.18373,110983.0,170159.0,exact,Azamgarh,9,18907.0
Citykart Bahraich,271801,Bahraich,Bahraich,Uttar Pradesh,CityKart,27.572239,81.600924,186223.0,285516.0,exact,Bahraich,5,57103.0
Citykart Bakshi ka Talab Lucknow,227202,Lucknow,Lucknow,Uttar Pradesh,CityKart,26.906414,80.939049,2817105.0,4319172.0,exact,Lucknow,58,74468.0
Citykart Balaganj Lucknow,226003,Lucknow,Lucknow,Uttar Pradesh,CityKart,26.856763,81.008496,2817105.0,4319172.0,exact,Lucknow,58,74468.0
Citykart Balrampur,271201,Balrampur,Balrampur,Uttar Pradesh,CityKart,27.525262,82.410243,82488.0,126470.0,exact,Balrampur,3,42157.0
Citykart Balua chowk Motihari,845401,Motihari,East Champaran,Bihar,CityKart,26.647759,84.901711,126158.0,216626.0,exact,Motihari,8,27078.0
Citykart Banka,813102,Banka,Banka,Bihar,CityKart,24.88538,86.923596,45977.0,78947.0,exact,Banka,2,39474.0
Citykart Banmankhi Purnia,854202,Purnia,Purnia,Bihar,CityKart,25.769873,87.471702,282248.0,484649.0,exact,Purnia,8,60581.0
CityKart Barabanki,225001,Barabanki,Barabanki,Uttar Pradesh,CityKart,26.897,81.2,,,no_match,,3,
Citykart Barh,803213,Barh,Patna,Bihar,CityKart,25.609907,85.137764,61470.0,105550.0,exact,Barh,3,35183.0
Citykart Bazar Samiti,800006,Patna,Patna,Bihar,CityKart,25.608004,85.176216,1684297.0,2892112.0,exact,Patna,48,60252.0
Citykart Begusarai,851133,Begusarai,Begusarai,Bihar,CityKart,25.49541,85.941066,252008.0,432724.0,exact,Begusarai,4,108181.0
Citykart Begusarai,851101,Begusarai,Begusarai,Bihar,CityKart,25.49541,85.941066,252008.0,432724.0,exact,Begusarai,4,108181.0
CityKart Bettiah,855438,Bettiah,West Champaran,Bihar,CityKart,26.807013,84.50856,132209.0,227017.0,exact,Bettiah,4,56754.0
Citykart Bhagwanpur Muzaffarpur,843113,Muzaffarpur,Muzaffarpur,Bihar,CityKart,26.13445,85.35649,354462.0,608648.0,exact,Muzaffarpur,13,46819.0
CityKart Bhootnath Patna,800026,Patna,Patna,Bihar,CityKart,25.598952,85.175111,1684297.0,2892112.0,exact,Patna,48,60252.0
Citykart Bihariganj Madhepura,852101,Madhepura,Madhepura,Bihar,CityKart,25.909668,86.78614,54472.0,93534.0,exact,Madhepura,6,15589.0
Citykart Bilasipara,783348,Bilasipara,Dhubri,Assam,CityKart,26.225,90.233,37410.0,56115.0,exact,Bilasipara,3,18705.0
Citykart Bilaspur,495001,Bilaspur,Bilaspur,Chhattisgarh,CityKart,22.065792,82.142944,16129.0,25055.0,fuzzy_broad,bijapur,7,3579.0
Citykart Biraul Darbhanga,847203,Darbhanga,Madhubani,Bihar,CityKart,25.946257,86.24728,296039.0,508330.0,exact,Darbhanga,8,63541.0
Citykart Brijbihari Marg Muzaffarpur,842003,Muzaffarpur,Muzaffarpur,Bihar,CityKart,26.13855,85.354336,354462.0,608648.0,exact,Muzaffarpur,13,46819.0
Citykart Budgam,191111,Budgam,Budgam,Jammu and Kashmir,CityKart,34.2167,75.6667,15338.0,22773.0,fuzzy_broad,badgam,1,22773.0
Citykart Buxar,802101,Buxar,Buxar,Bihar,CityKart,25.572172,83.971756,102861.0,176623.0,exact,Buxar,3,58874.0
Citykart Chappra,841301,Chhapra,Saran,Bihar,CityKart,25.780573,84.736611,202352.0,347459.0,fuzzy,chapra,4,86865.0
"Citykart Chetganj, Varanasi",221002,Varanasi,Varanasi,Uttar Pradesh,CityKart,25.324511,82.992273,1198491.0,1837521.0,exact,Varanasi,24,76563.0
Citykart Chhindwara,480001,Chhindwara,Chhindwara,Madhya Pradesh,CityKart,22.058631,78.953456,175052.0,262579.0,exact,Chhindwara,3,87526.0
Citykart Civil Line Jhansi,284001,Jhansi,Jhansi,Uttar Pradesh,CityKart,25.448484,78.569725,505693.0,775326.0,exact,Jhansi,9,86147.0
Citykart Civil Line Prayagraj,211001,Prayagraj,Prayagraj,Uttar Pradesh,CityKart,25.455746,81.83328,1168385.0,1791363.0,manual,Allahabad,12,149280.0
