state,district,town,town_raw,pop_2011,households_2011,cagr,pop_2026,state_std,district_std
JAMMU & KASHMIR,Kupwara,Dara Pora,Dara Pora (CT),8464,736,0.0267,12567,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Sool Koot,Sool Koot (CT),3973,492,0.0267,5899,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Heri,Heri (CT),6348,561,0.0267,9425,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Trehgam,Trehgam (CT),15587,1258,0.0267,23143,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Kral Pora,Kral Pora (CT),6518,569,0.0267,9678,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Drug Mulla,Drug Mulla (CT),12930,1458,0.0267,19198,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Kupwara,Kupwara (MC),21771,1934,0.0267,32324,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Handwara,Handwara (MC),13600,2011,0.0267,20193,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Tangdhar,Tangdhar (CT),9904,1901,0.0267,14705,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Kupwara,Nowangabra,Nowangabra (CT),5634,1079,0.0267,8365,Jammu and Kashmir,Kupwara
JAMMU & KASHMIR,Badgam,Magam,Magam (MC),5470,807,0.0267,8122,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Beerwah,Beerwah (MC),8192,946,0.0267,12163,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Khansahib,Khansahib (MC),2630,352,0.0267,3905,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Ichgam,Ichgam (CT),7461,999,0.0267,11078,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Badgam,Badgam (MC),15338,2258,0.0267,22773,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Nagam,Nagam (CT),7365,1049,0.0267,10935,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Kral Pora,Kral Pora (CT),13889,1442,0.0267,20622,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Srinagar (M Corp. + OG),Srinagar (M Corp. + OG) (Part),19552,3203,0.0267,29030,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Chadura,Chadura (MC),6482,792,0.0267,9624,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Badgam,Charar-i-Sharief,Charar-i-Sharief (MC),11533,2098,0.0267,17124,Jammu and Kashmir,Badgam
JAMMU & KASHMIR,Leh(Ladakh),Spituk,Spituk (CT),4047,696,0.0267,6009,Jammu and Kashmir,Leh(Ladakh)
JAMMU & KASHMIR,Leh(Ladakh),Chuglamsar,Chuglamsar (CT),10754,1931,0.0267,15967,Jammu and Kashmir,Leh(Ladakh)
JAMMU & KASHMIR,Leh(Ladakh),Leh Ladakh,Leh Ladakh (MC),30870,4377,0.0267,45834,Jammu and Kashmir,Leh(Ladakh)
JAMMU & KASHMIR,Kargil,Kargil,Kargil (MC),16338,2191,0.0267,24258,Jammu and Kashmir,Kargil
JAMMU & KASHMIR,Punch,Punch,Punch (M Cl),26854,4943,0.0267,39871,Jammu and Kashmir,Punch
JAMMU & KASHMIR,Punch,Naka Majiari,Naka Majiari (CT),5033,906,0.0267,7473,Jammu and Kashmir,Punch
JAMMU & KASHMIR,Punch,Surankote,Surankote (MC),6743,1367,0.0267,10012,Jammu and Kashmir,Punch
JAMMU & KASHMIR,Rajouri,Thanamandi,Thanamandi (MC),5490,971,0.0267,8151,Jammu and Kashmir,Rajouri
JAMMU & KASHMIR,Rajouri,Rajauri,Rajauri (MC),29486,4364,0.0267,43779,Jammu and Kashmir,Rajouri
JAMMU & KASHMIR,Rajouri,Nowshehra,Nowshehra (MC),10408,1283,0.0267,15453,Jammu and Kashmir,Rajouri
JAMMU & KASHMIR,Rajouri,Sunderbani,Sunderbani (MC),6930,1138,0.0267,10289,Jammu and Kashmir,Rajouri
JAMMU & KASHMIR,Kathua,Billawar,Billawar (MC),4978,902,0.0267,7391,Jammu and Kashmir,Kathua
JAMMU & KASHMIR,Kathua,Bashohli,Bashohli (MC),5433,1106,0.0267,8067,Jammu and Kashmir,Kathua
JAMMU & KASHMIR,Kathua,Lakhanpur,Lakhanpur (MC),3461,618,0.0267,5139,Jammu and Kashmir,Kathua
JAMMU & KASHMIR,Kathua,Kathua,Kathua (M Cl + OG),59866,12061,0.0267,88886,Jammu and Kashmir,Kathua
JAMMU & KASHMIR,Kathua,Kathua,Kathua (M Cl),51991,10456,0.0267,77194,Jammu and Kashmir,Kathua
JAMMU & KASHMIR,Kathua,Parole,Parole (MC),7681,1522,0.0267,11404,Jammu and Kashmir,Kathua
JAMMU & KASHMIR,Kathua,Hiranagar,Hiranagar (MC),8294,1723,0.0267,12315,Jammu and Kashmir,Kathua
JAMMU & KASHMIR,Baramula,Sopore,Sopore (M Cl + OG),71292,11192,0.0267,105851,Jammu and Kashmir,Baramula
JAMMU & KASHMIR,Baramula,Sopore,Sopore (M Cl),61098,9931,0.0267,90715,Jammu and Kashmir,Baramula
JAMMU & KASHMIR,Baramula,Watra Gam,Watra Gam (MC),7015,932,0.0267,10416,Jammu and Kashmir,Baramula
JAMMU & KASHMIR,Baramula,Pattan,Pattan (MC),19538,2087,0.0267,29009,Jammu and Kashmir,Baramula
JAMMU & KASHMIR,Baramula,Baramula,Baramula (M Cl + OG),71434,11725,0.0267,106062,Jammu and Kashmir,Baramula
JAMMU & KASHMIR,Baramula,Baramula,Baramula (M Cl),58053,9476,0.0267,86194,Jammu and Kashmir,Baramula
JAMMU & KASHMIR,Baramula,Uri,Uri (MC),9366,970,0.0267,13906,Jammu and Kashmir,Baramula
JAMMU & KASHMIR,Baramula,Kunzer,Kunzer (MC),1890,306,0.0267,2806,Jammu and Kashmir,Baramula
JAMMU & KASHMIR,Baramula,Gulmarg,Gulmarg (MC),1965,77,0.0267,2918,Jammu and Kashmir,Baramula
JAMMU & KASHMIR,Bandipore,Bandipore,Bandipore (MC),37081,5584,0.0267,55056,Jammu and Kashmir,Bandipore
JAMMU & KASHMIR,Bandipore,Hajan,Hajan (MC),13239,1781,0.0267,19657,Jammu and Kashmir,Bandipore
JAMMU & KASHMIR,Bandipore,Sumbal,Sumbal (MC),15041,2233,0.0267,22332,Jammu and Kashmir,Bandipore
JAMMU & KASHMIR,Srinagar,Khonmoh,Khonmoh  (CT),2664,216,0.0267,3955,Jammu and Kashmir,Srinagar
JAMMU & KASHMIR,Srinagar,Srinagar (M Corp. + OG),Srinagar (M Corp. + OG) (Part),1180570,182829,0.0267,1752852,Jammu and Kashmir,Srinagar
JAMMU & KASHMIR,Srinagar,Srinagar,Srinagar (M Corp.),1180570,182829,0.0267,1752852,Jammu and Kashmir,Srinagar
JAMMU & KASHMIR,Srinagar,Badami Bagh,Badami Bagh (CB),22214,3324,0.0267,32982,Jammu and Kashmir,Srinagar
JAMMU & KASHMIR,Srinagar,Now Gam,Now Gam  (CT),2490,420,0.0267,3697,Jammu and Kashmir,Srinagar
JAMMU & KASHMIR,Srinagar,Lasjan,Lasjan (CT),5281,876,0.0267,7841,Jammu and Kashmir,Srinagar
JAMMU & KASHMIR,Srinagar,Srinagar (M Corp. + OG),Srinagar (M Corp. + OG) (Part),6297,1169,0.0267,9349,Jammu and Kashmir,Srinagar
JAMMU & KASHMIR,Ganderbal,Safa Pora,Safa Pora (CT),10471,1548,0.0267,15547,Jammu and Kashmir,Ganderbal
JAMMU & KASHMIR,Ganderbal,Wail,Wail (CT),8335,1429,0.0267,12375,Jammu and Kashmir,Ganderbal
JAMMU & KASHMIR,Ganderbal,Ganderbal,Ganderbal (MC),28233,3989,0.0267,41919,Jammu and Kashmir,Ganderbal
JAMMU & KASHMIR,Pulwama,Pampora,Pampora (MC),21680,3389,0.0267,32189,Jammu and Kashmir,Pulwama
JAMMU & KASHMIR,Pulwama,Khrew,Khrew (MC),9851,1343,0.0267,14626,Jammu and Kashmir,Pulwama
JAMMU & KASHMIR,Pulwama,Awantipora,Awantipora (MC),12647,1083,0.0267,18778,Jammu and Kashmir,Pulwama
JAMMU & KASHMIR,Pulwama,Tral,Tral (MC),17844,2356,0.0267,26494,Jammu and Kashmir,Pulwama
JAMMU & KASHMIR,Pulwama,Pulwama,Pulwama (MC),18440,2483,0.0267,27379,Jammu and Kashmir,Pulwama
JAMMU & KASHMIR,Shupiyan,Shupiyan,Shupiyan (MC),16360,2553,0.0267,24291,Jammu and Kashmir,Shupiyan
JAMMU & KASHMIR,Anantnag,Pahalgam,Pahalgam (MC),9264,966,0.0267,13755,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Aishmuquam,Aishmuquam (MC),6519,1011,0.0267,9679,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Bijbehara,Bijbehara (MC),22789,3098,0.0267,33836,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Arwani,Arwani (MC),11815,1582,0.0267,17542,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Mattan,Mattan (MC),9246,1384,0.0267,13728,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Anantnag (M Cl + OG),Anantnag (M Cl + OG) (Part),150198,17542,0.0267,223007,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Anantnag,Anantnag (M Cl),109433,12345,0.0267,162481,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Achhabal,Achhabal (MC),17556,2470,0.0267,26066,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Seer Hamdan,Seer Hamdan (MC),8233,1335,0.0267,12224,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Shangus,Shangus (MC),7875,1208,0.0267,11692,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Koker Nag,Koker Nag (MC),6553,900,0.0267,9730,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Qazi Gund,Qazi Gund (MC),9871,1363,0.0267,14656,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Anantnag,Duru Verinag,Duru Verinag (MC),22968,3133,0.0267,34102,Jammu and Kashmir,Anantnag
JAMMU & KASHMIR,Kulgam,Anantnag (M Cl + OG),Anantnag (M Cl + OG) (Part),394,69,0.0267,585,Jammu and Kashmir,Kulgam
JAMMU & KASHMIR,Kulgam,Kulgam,Kulgam (MC),23584,4106,0.0267,35016,Jammu and Kashmir,Kulgam
JAMMU & KASHMIR,Kulgam,Quimoh,Quimoh (MC),13138,2221,0.0267,19507,Jammu and Kashmir,Kulgam
JAMMU & KASHMIR,Kulgam,Frisal,Frisal (MC),5132,851,0.0267,7620,Jammu and Kashmir,Kulgam
JAMMU & KASHMIR,Kulgam,Yari Pora,Yari Pora (MC),12123,2205,0.0267,18000,Jammu and Kashmir,Kulgam
JAMMU & KASHMIR,Kulgam,Ashmuji Khalsa,Ashmuji Khalsa (MC),5567,1016,0.0267,8266,Jammu and Kashmir,Kulgam
JAMMU & KASHMIR,Kulgam,Mehmood Pora,Mehmood Pora (MC),10910,1944,0.0267,16199,Jammu and Kashmir,Kulgam
JAMMU & KASHMIR,Kulgam,Devsar,Devsar (MC),9765,1394,0.0267,14499,Jammu and Kashmir,Kulgam
JAMMU & KASHMIR,Doda,Doda,Doda (MC),21605,4597,0.0267,32078,Jammu and Kashmir,Doda
JAMMU & KASHMIR,Doda,Bhaderwah,Bhaderwah (MC),11084,2122,0.0267,16457,Jammu and Kashmir,Doda
JAMMU & KASHMIR,Ramban,Banihal,Banihal (MC),3900,645,0.0267,5791,Jammu and Kashmir,Ramban
JAMMU & KASHMIR,Ramban,Ramban,Ramban (MC),3596,729,0.0267,5339,Jammu and Kashmir,Ramban
JAMMU & KASHMIR,Ramban,Batote,Batote (MC),4315,788,0.0267,6407,Jammu and Kashmir,Ramban
JAMMU & KASHMIR,Kishtwar,Kishtwar,Kishtwar (MC),14865,2710,0.0267,22071,Jammu and Kashmir,Kishtwar
JAMMU & KASHMIR,Udhampur,Rehambal,Rehambal (CT),7351,1485,0.0267,10914,Jammu and Kashmir,Udhampur
JAMMU & KASHMIR,Udhampur,Rathian,Rathian (CT),6365,1241,0.0267,9450,Jammu and Kashmir,Udhampur
JAMMU & KASHMIR,Udhampur,Udhampur,Udhampur (M Cl + OG),84015,15491,0.0267,124741,Jammu and Kashmir,Udhampur
JAMMU & KASHMIR,Udhampur,Udhampur,Udhampur (M Cl),35507,6970,0.0267,52719,Jammu and Kashmir,Udhampur
JAMMU & KASHMIR,Udhampur,Kud,Kud (MC),1565,281,0.0267,2324,Jammu and Kashmir,Udhampur
JAMMU & KASHMIR,Udhampur,Chenani,Chenani (MC),2620,525,0.0267,3890,Jammu and Kashmir,Udhampur
JAMMU & KASHMIR,Udhampur,Ram Nagar,Ram Nagar (MC),6292,1330,0.0267,9342,Jammu and Kashmir,Udhampur
JAMMU & KASHMIR,Reasi,Talwara,Talwara (CT),5125,841,0.0267,7609,Jammu and Kashmir,Reasi
JAMMU & KASHMIR,Reasi,Marhi,Marhi (CT),4392,924,0.0267,6521,Jammu and Kashmir,Reasi
JAMMU & KASHMIR,Reasi,Reasi,Reasi (MC),7796,1542,0.0267,11575,Jammu and Kashmir,Reasi
JAMMU & KASHMIR,Reasi,Purana Daroorh,Purana Daroorh (MC),675,129,0.0267,1002,Jammu and Kashmir,Reasi
JAMMU & KASHMIR,Reasi,Katra,Katra (MC),9008,1594,0.0267,13375,Jammu and Kashmir,Reasi
JAMMU & KASHMIR,Jammu,Jourian,Jourian (MC),3934,892,0.0267,5841,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Akhnoor,Akhnoor (MC),20756,3393,0.0267,30817,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Khore,Khore (MC),6931,1592,0.0267,10291,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Bhalwal,Bhalwal (CT),14174,3104,0.0267,21045,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Raipur Domana,Raipur Domana (CT),20238,4254,0.0267,30048,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Chak Ratnu,Chak Ratnu (CT),5228,819,0.0267,7762,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Nagrota,Nagrota (CT),13836,2521,0.0267,20543,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Chak  Kalu,Chak  Kalu (CT),4725,809,0.0267,7015,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Rakh Gadi Garh,Rakh Gadi Garh (CT),7588,1612,0.0267,11266,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Bhore,Bhore (CT),6360,1336,0.0267,9443,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Chhatha,Chhatha (CT),4758,923,0.0267,7064,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Jammu,Jammu (M Corp. + OG),576198,117479,0.0267,855510,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Jammu,Jammu (M Corp.),502197,103025,0.0267,745637,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Jammu Cantt.,Jammu Cantt. (CB),28396,5680,0.0267,42161,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Ghomanhasan,Ghomanhasan (MC),3944,793,0.0267,5856,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Dhande Kalan,Dhande Kalan (CT),4887,1036,0.0267,7256,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Maralia,Maralia (CT),4327,900,0.0267,6425,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Nihalpur Simbal,Nihalpur Simbal (CT),3869,795,0.0267,5744,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,R.S. Pora,R.S. Pora (MC),15197,3030,0.0267,22564,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Bishna,Bishna (MC),10719,2153,0.0267,15915,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Jammu,Arnia,Arnia (MC),8948,1787,0.0267,13286,Jammu and Kashmir,Jammu
JAMMU & KASHMIR,Samba,Gorah Salathian,Gorah Salathian (CT),4629,948,0.0267,6873,Jammu and Kashmir,Samba
JAMMU & KASHMIR,Samba,Birpur,Birpur (CT),7177,1361,0.0267,10656,Jammu and Kashmir,Samba
JAMMU & KASHMIR,Samba,Bari Brahamana,Bari Brahamana (MC),15453,2890,0.0267,22944,Jammu and Kashmir,Samba
JAMMU & KASHMIR,Samba,Vijay Pur,Vijay Pur (MC),8044,1688,0.0267,11943,Jammu and Kashmir,Samba
JAMMU & KASHMIR,Samba,Samba,Samba (MC),12700,2566,0.0267,18856,Jammu and Kashmir,Samba
JAMMU & KASHMIR,Samba,Ramgarh,Ramgarh (MC),5612,1214,0.0267,8332,Jammu and Kashmir,Samba
HIMACHAL PRADESH,Chamba,Dalhousie,Dalhousie (CB),3549,663,0.0198,4762,Himachal Pradesh,Chamba
HIMACHAL PRADESH,Chamba,Dalhousie,Dalhousie (M Cl),7051,1344,0.0198,9462,Himachal Pradesh,Chamba
HIMACHAL PRADESH,Chamba,Bakloh,Bakloh (CB),1805,395,0.0198,2422,Himachal Pradesh,Chamba
HIMACHAL PRADESH,Chamba,Chuari Khas,Chuari Khas (NP),3770,906,0.0198,5059,Himachal Pradesh,Chamba
HIMACHAL PRADESH,Chamba,Chamba,Chamba (M Cl),19933,4556,0.0198,26748,Himachal Pradesh,Chamba
HIMACHAL PRADESH,Kangra,Nurpur,Nurpur (M Cl),9807,2137,0.0198,13160,Himachal Pradesh,Kangra
HIMACHAL PRADESH,Kangra,Indora,Indora (CT),4534,1004,0.0198,6084,Himachal Pradesh,Kangra
HIMACHAL PRADESH,Kangra,Dharmsala,Dharmsala (M Cl + OG),30764,7806,0.0198,41283,Himachal Pradesh,Kangra
HIMACHAL PRADESH,Kangra,Dharmsala,Dharmsala (M Cl),22579,5686,0.0198,30299,Himachal Pradesh,Kangra
HIMACHAL PRADESH,Kangra,Yol,Yol (CB),12028,2724,0.0198,16141,Himachal Pradesh,Kangra
HIMACHAL PRADESH,Kangra,Kangra,Kangra (M Cl),9528,2250,0.0198,12786,Himachal Pradesh,Kangra
HIMACHAL PRADESH,Kangra,Nagrota Bagwan,Nagrota Bagwan (M Cl),5900,1410,0.0198,7917,Himachal Pradesh,Kangra
HIMACHAL PRADESH,Kangra,Dera Gopipur,Dera Gopipur (NP),4816,1151,0.0198,6463,Himachal Pradesh,Kangra
HIMACHAL PRADESH,Kangra,Jawalamukhi,Jawalamukhi (NP),5361,1184,0.0198,7194,Himachal Pradesh,Kangra
HIMACHAL PRADESH,Kangra,Palampur,Palampur (M Cl),3543,842,0.0198,4754,Himachal Pradesh,Kangra
HIMACHAL PRADESH,Kullu,Manali,Manali (M Cl),8096,2277,0.0198,10864,Himachal Pradesh,Kullu
HIMACHAL PRADESH,Kullu,Shamshi,Shamshi (CT),8870,2081,0.0198,11903,Himachal Pradesh,Kullu
HIMACHAL PRADESH,Kullu,Kullu,Kullu (M Cl),18536,4656,0.0198,24874,Himachal Pradesh,Kullu
HIMACHAL PRADESH,Kullu,Bhuntar,Bhuntar (NP),4475,1035,0.0198,6005,Himachal Pradesh,Kullu
HIMACHAL PRADESH,Kullu,Banjar,Banjar (NP),1414,400,0.0198,1897,Himachal Pradesh,Kullu
HIMACHAL PRADESH,Mandi,Jogindarnagar,Jogindarnagar (NP),5335,1273,0.0198,7159,Himachal Pradesh,Mandi
HIMACHAL PRADESH,Mandi,Sarkaghat,Sarkaghat (NP),4715,1184,0.0198,6327,Himachal Pradesh,Mandi
HIMACHAL PRADESH,Mandi,Sundarnagar,Sundarnagar (M Cl),24344,5850,0.0198,32668,Himachal Pradesh,Mandi
HIMACHAL PRADESH,Mandi,Mandi,Mandi (M Cl),26422,6627,0.0198,35456,Himachal Pradesh,Mandi
HIMACHAL PRADESH,Mandi,Rawalsar,Rawalsar (NP),1821,464,0.0198,2444,Himachal Pradesh,Mandi
HIMACHAL PRADESH,Hamirpur,Tira Sujanpur,Tira Sujanpur (NP),7943,1769,0.0198,10659,Himachal Pradesh,Hamirpur
HIMACHAL PRADESH,Hamirpur,Nadaun,Nadaun (NP),4430,985,0.0198,5945,Himachal Pradesh,Hamirpur
HIMACHAL PRADESH,Hamirpur,Hamirpur,Hamirpur (M Cl),17604,4350,0.0198,23623,Himachal Pradesh,Hamirpur
HIMACHAL PRADESH,Hamirpur,Bhota,Bhota (NP),1453,300,0.0198,1950,Himachal Pradesh,Hamirpur
HIMACHAL PRADESH,Una,Daulatpur,Daulatpur (NP),3763,853,0.0198,5050,Himachal Pradesh,Una
HIMACHAL PRADESH,Una,Gagret,Gagret (NP),3847,838,0.0198,5162,Himachal Pradesh,Una
HIMACHAL PRADESH,Una,Una,Una (M Cl),18722,4226,0.0198,25123,Himachal Pradesh,Una
HIMACHAL PRADESH,Una,Mehatpur Basdehra,Mehatpur Basdehra (NP),9218,2012,0.0198,12370,Himachal Pradesh,Una
HIMACHAL PRADESH,Una,Santokhgarh,Santokhgarh (NP),9363,1901,0.0198,12564,Himachal Pradesh,Una
HIMACHAL PRADESH,Bilaspur,Ghumarwin,Ghumarwin (M Cl),7899,1796,0.0198,10600,Himachal Pradesh,Bilaspur
HIMACHAL PRADESH,Bilaspur,Talai,Talai (NP),2372,484,0.0198,3183,Himachal Pradesh,Bilaspur
HIMACHAL PRADESH,Bilaspur,Naina Devi,Naina Devi (M Cl),1204,267,0.0198,1616,Himachal Pradesh,Bilaspur
HIMACHAL PRADESH,Bilaspur,Bilaspur,Bilaspur (M Cl),13654,3226,0.0198,18323,Himachal Pradesh,Bilaspur
HIMACHAL PRADESH,Solan,Arki,Arki (NP),3040,708,0.0198,4079,Himachal Pradesh,Solan
HIMACHAL PRADESH,Solan,Nalagarh,Nalagarh (M Cl),10708,2380,0.0198,14369,Himachal Pradesh,Solan
HIMACHAL PRADESH,Solan,Baddi,Baddi (M Cl + OG),29911,8352,0.0198,40138,Himachal Pradesh,Solan
HIMACHAL PRADESH,Solan,Baddi,Baddi (M Cl),25639,7366,0.0198,34405,Himachal Pradesh,Solan
HIMACHAL PRADESH,Solan,Kasauli,Kasauli (CB),3885,954,0.0198,5213,Himachal Pradesh,Solan
HIMACHAL PRADESH,Solan,Parwanoo,Parwanoo (M Cl),8758,2286,0.0198,11752,Himachal Pradesh,Solan
HIMACHAL PRADESH,Solan,Dagshai,Dagshai (CB),2904,577,0.0198,3897,Himachal Pradesh,Solan
HIMACHAL PRADESH,Solan,Solan,Solan (M Cl),39256,9803,0.0198,52678,Himachal Pradesh,Solan
HIMACHAL PRADESH,Solan,Sabathu,Sabathu (CB),3685,855,0.0198,4945,Himachal Pradesh,Solan
HIMACHAL PRADESH,Sirmaur,Rajgarh,Rajgarh (NP),3083,729,0.0198,4137,Himachal Pradesh,Sirmaur
HIMACHAL PRADESH,Sirmaur,Nahan,Nahan (M Cl),28899,6679,0.0198,38780,Himachal Pradesh,Sirmaur
HIMACHAL PRADESH,Sirmaur,Paonta Sahib,Paonta Sahib (M Cl),25183,5713,0.0198,33793,Himachal Pradesh,Sirmaur
HIMACHAL PRADESH,Shimla,Jhakhri,Jhakhri (CT),4655,1287,0.0198,6247,Himachal Pradesh,Shimla
HIMACHAL PRADESH,Shimla,Rampur,Rampur (M Cl),5655,1507,0.0198,7589,Himachal Pradesh,Shimla
HIMACHAL PRADESH,Shimla,Narkanda,Narkanda (NP),901,229,0.0198,1209,Himachal Pradesh,Shimla
HIMACHAL PRADESH,Shimla,Seoni,Seoni (NP),2591,660,0.0198,3477,Himachal Pradesh,Shimla
HIMACHAL PRADESH,Shimla,Jutogh,Jutogh (CB),2062,394,0.0198,2767,Himachal Pradesh,Shimla
HIMACHAL PRADESH,Shimla,Shimla,Shimla (M Corp.),169578,46306,0.0198,227559,Himachal Pradesh,Shimla
HIMACHAL PRADESH,Shimla,Theog,Theog (M Cl),4353,1124,0.0198,5841,Himachal Pradesh,Shimla
HIMACHAL PRADESH,Shimla,Chaupal,Chaupal (NP) ,1851,577,0.0198,2484,Himachal Pradesh,Shimla
HIMACHAL PRADESH,Shimla,Jubbal,Jubbal (NP),1640,442,0.0198,2201,Himachal Pradesh,Shimla
HIMACHAL PRADESH,Shimla,Kotkhai,Kotkhai (NP),1190,330,0.0198,1597,Himachal Pradesh,Shimla
HIMACHAL PRADESH,Shimla,Rohru,Rohru (M Cl),6875,1652,0.0198,9226,Himachal Pradesh,Shimla
PUNJAB,Gurdaspur,Kot,Kot (CT),5406,1051,0.0187,7138,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Jugial,Jugial (CT),15210,3589,0.0187,20083,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Ghoh,Ghoh (CT),6883,1317,0.0187,9088,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Bungal,Bungal (CT),5257,978,0.0187,6941,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Daulatpur,Daulatpur (CT),12988,2772,0.0187,17149,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Mamun,Mamun (CT),32689,5365,0.0187,43161,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Dhaki,Dhaki (CT),4203,1004,0.0187,5550,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Manwal,Manwal (CT),6496,1263,0.0187,8577,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Sarna,Sarna (CT),5847,1158,0.0187,7720,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Malikpur,Malikpur (CT),4645,1012,0.0187,6133,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Tharial,Tharial (CT),5081,1023,0.0187,6709,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Narot Mehra,Narot Mehra (CT),8885,1810,0.0187,11731,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Sujanpur,Sujanpur (M Cl),28270,5597,0.0187,37327,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Pathankot,Pathankot (M Cl + OG),156306,31960,0.0187,206381,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Pathankot,Pathankot (M Cl),148937,30479,0.0187,196651,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Behrampur,Behrampur (CT),5432,1057,0.0187,7172,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Baryar,Baryar (CT),3520,706,0.0187,4648,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Tibri,Tibri (CT),11845,2094,0.0187,15640,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Fateh Nangal,Fateh Nangal (CT),7721,1499,0.0187,10195,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Dina Nagar,Dina Nagar (M Cl),23976,4840,0.0187,31657,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Gurdaspur,Gurdaspur (M Cl + OG),77928,15443,0.0187,102894,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Gurdaspur,Gurdaspur (M Cl),75549,15175,0.0187,99752,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Dhariwal,Dhariwal (M Cl),16772,3482,0.0187,22145,Punjab,Gurdaspur
PUNJAB,Gurdaspur,Fatehgarh Churian,Fatehgarh Churian (M Cl),13070,2550,0.0187,17257,Punjab,Gurdaspur
